episode_id,direction,lane,trigger_tf,context_tf,is_multi_timeframe,context_family,context_id,component_ids,confluence,interaction_seq,context_zone_lo,context_zone_hi,dominant_state,n_variants,n_executable,variant_ids
EP-00092,1,A,1,1,False,rb,RB2-000045,RB2-000045,False,126,29942.25,29954.0,CLOSE_BACK_OUTSIDE,2,0,EP-00092-ENTRY_ON_TAP|EP-00092-ENTRY_ON_FIRST_CLOSE_OUTSIDE
EP-00093,-1,A,3,3,False,rb,RB2-003122,RB2-003122,False,126,29965.5,29986.25,FAILED_REACTION,1,1,EP-00093-ENTRY_ON_TAP
EP-00094,-1,A,1,1,False,rb,RB2-000047,RB2-000047,False,129,29996.0,30007.75,FAILED_REACTION,1,0,EP-00094-ENTRY_ON_TAP
EP-00095,-1,A,1,1,False,rb,RB2-000048,RB2-000048,False,129,29980.5,29992.25,FAILED_REACTION,1,0,EP-00095-ENTRY_ON_TAP
EP-00096,-1,A,1,1,False,rb,RB2-000049,RB2-000049,False,131,30024.0,30041.0,STRONG_REJECTION_DEPARTURE,5,3,EP-00096-ENTRY_ON_TAP|EP-00096-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00096-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00096-ENTRY_ON_STRONG_REJECTION|EP-00096-ENTRY_ON_NEW_FVG
EP-00097,-1,A,1,3,True,rb,RB2-003123,RB2-003123,False,132,30022.25,30041.0,DELAYED_DISPLACEMENT,6,1,EP-00097-ENTRY_ON_TAP|EP-00097-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00097-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00097-ENTRY_ON_STRONG_REJECTION|EP-00097-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00097-ENTRY_ON_NEW_FVG
EP-00098,-1,A,3,3,False,rb,RB2-003123,RB2-003123,False,132,30022.25,30041.0,IMMEDIATE_DISPLACEMENT,6,0,EP-00098-ENTRY_ON_TAP|EP-00098-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00098-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00098-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00098-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00098-ENTRY_ON_NEW_FVG
EP-00099,1,A,1,1,False,rb,RB2-000050,RB2-000050,False,134,30003.5,30014.25,FAILED_REACTION,1,0,EP-00099-ENTRY_ON_TAP
EP-00100,-1,A,1,5,True,rb,RB2-004175,RB2-004175,False,135,30019.0,30041.0,DELAYED_DISPLACEMENT,4,0,EP-00100-ENTRY_ON_TAP|EP-00100-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00100-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00100-ENTRY_ON_NEW_FVG
EP-00101,1,A,1,3,True,rb,RB2-003124,RB2-003124,False,135,30003.5,30019.0,FAILED_REACTION,1,0,EP-00101-ENTRY_ON_TAP
