branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-012528,GEP-002800,H_liquidity_break_accept_continuation,EXPIRED,expiry,1
GBR-012529,GEP-002800,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-012538,GEP-002804,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012540,GEP-002805,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012545,GEP-002805,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012551,GEP-002807,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012553,GEP-002808,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012554,GEP-002801,H_vwap_break_accept_continuation,EXPIRED,inactive,1
GBR-012562,GEP-002804,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012563,GEP-002804,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012565,GEP-002807,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012566,GEP-002807,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012568,GEP-002808,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012569,GEP-002808,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012572,GEP-002812,H_rb_unresolved_fade,UNRESOLVED,inactive,2
GBR-012574,GEP-002813,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012581,GEP-002815,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012587,GEP-002818,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012594,GEP-002819,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012596,GEP-002806,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012597,GEP-002806,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012599,GEP-002816,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012600,GEP-002816,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012602,GEP-002818,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012603,GEP-002818,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012605,GEP-002820,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012607,GEP-002817,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012608,GEP-002817,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012618,GEP-002809,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012619,GEP-002809,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012621,GEP-002811,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012622,GEP-002811,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012646,GEP-002810,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012647,GEP-002810,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012654,GEP-002827,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012662,GEP-002828,H_fvg_first_touch,EXPIRED,inactive,1
GBR-012663,GEP-002828,H_fvg_first_fill,EXPIRED,inactive,1
GBR-012664,GEP-002828,H_fvg_midpoint,EXPIRED,inactive,1
GBR-012665,GEP-002828,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012742,GEP-002844,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012759,GEP-002849,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012764,GEP-002851,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012769,GEP-002853,H_fvg_first_touch,EXPIRED,inactive,1
GBR-012770,GEP-002853,H_fvg_first_fill,EXPIRED,inactive,1
GBR-012771,GEP-002853,H_fvg_midpoint,EXPIRED,inactive,1
GBR-012772,GEP-002853,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012777,GEP-002854,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012779,GEP-002855,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012782,GEP-002856,H_ifvg_retest,EXPIRED,inactive,3
GBR-012788,GEP-002857,H_fvg_midpoint,EXPIRED,inactive,1
GBR-012789,GEP-002857,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012798,GEP-002859,H_fvg_midpoint,EXPIRED,inactive,1
GBR-012799,GEP-002859,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012801,GEP-002713,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-012802,GEP-002713,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-012878,GEP-002874,H_fvg_first_touch,EXPIRED,inactive,1
GBR-012879,GEP-002874,H_fvg_first_fill,EXPIRED,inactive,1
GBR-012880,GEP-002874,H_fvg_midpoint,EXPIRED,inactive,1
GBR-012881,GEP-002874,H_fvg_full_fill,EXPIRED,inactive,1
GBR-012889,GEP-002877,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-012901,GEP-002878,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-013047,GEP-002917,H_compression_false_expansion_fade,EXPIRED,inactive,1
GBR-013148,GEP-002941,H_liquidity_break_failed_fade,EXPIRED,inactive,1
