instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,end_index
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,-5.5,1,0.5,4.75,67.5,63.75,58.75,10.25,0.014285714285714285,0.1981981981981982,27.75,False,3246
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:05:00-04:00,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,5.5,1,0.5,11.25,67.5,63.75,58.75,10.25,0.9857142857142858,0.1981981981981982,27.75,False,3246
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:04:00-04:00,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,-13.75,1,0.3333333333333333,4.75,90.0,80.0,72.5,10.25,0.014285714285714285,0.3333333333333333,41.25,False,3246
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:04:00-04:00,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,13.75,2,0.6666666666666666,10.625,90.0,80.0,72.5,10.25,0.9857142857142858,0.3333333333333333,41.25,False,3246
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:07:00-04:00,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,1.0,1,1.0,1.0,0.0,17.5,16.25,,0.4305555555555556,0.05555555555555555,18.0,False,3247
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:07:00-04:00,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,-1.0,0,0.0,0.0,0.0,17.5,16.25,,0.5694444444444444,0.05555555555555555,18.0,False,3247
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,-8.5,1,0.5,1.0,45.0,51.25,46.875,13.25,0.4305555555555556,0.23943661971830985,35.5,False,3247
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:06:00-04:00,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,8.5,1,0.5,11.25,45.0,51.25,46.875,13.25,0.5694444444444444,0.23943661971830985,35.5,False,3247
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:05:00-04:00,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,-2.75,2,0.6666666666666666,2.875,45.0,42.5,40.0,11.75,0.4305555555555556,0.060109289617486336,45.75,False,3247
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:05:00-04:00,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,2.75,1,0.3333333333333333,11.25,45.0,42.5,40.0,11.75,0.5694444444444444,0.060109289617486336,45.75,False,3247
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:08:00-04:00,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,14.75,1,1.0,14.75,100.0,100.0,90.0,,0.9014084507042254,0.8309859154929577,17.75,False,3248
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:08:00-04:00,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,-14.75,0,0.0,0.0,100.0,100.0,90.0,,0.09859154929577464,0.8309859154929577,17.75,False,3248
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,14.0,2,1.0,7.875,50.0,58.75,53.125,13.25,0.9014084507042254,0.3916083916083916,35.75,False,3248
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:07:00-04:00,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,-14.0,0,0.0,0.0,50.0,58.75,53.125,13.25,0.09859154929577464,0.3916083916083916,35.75,False,3248
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:06:00-04:00,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,4.5,2,0.6666666666666666,7.875,90.0,85.0,77.5,13.25,0.9014084507042254,0.08450704225352113,53.25,False,3248
