timeframe,source_seq,source_ts,source_ohlc,lower_wick,upper_wick,wick_body_ratio,reason
1,5869,2026-07-16 23:49:00-04:00,"(28937.25, 28941.0, 28935.0, 28938.75)",2.25,2.25,1.5,equal_wick_ambiguous
1,5930,2026-07-17 00:50:00-04:00,"(28826.0, 28831.25, 28820.25, 28825.5)",5.25,5.25,10.5,equal_wick_ambiguous
1,5996,2026-07-17 01:56:00-04:00,"(28750.75, 28754.75, 28738.0, 28742.0)",4.0,4.0,0.45714285714285713,equal_wick_ambiguous
1,6019,2026-07-17 02:19:00-04:00,"(28768.75, 28774.0, 28767.25, 28772.5)",1.5,1.5,0.4,equal_wick_ambiguous
1,6142,2026-07-17 04:22:00-04:00,"(28593.5, 28601.25, 28585.0, 28592.75)",7.75,7.75,10.333333333333334,equal_wick_ambiguous
1,6214,2026-07-17 05:34:00-04:00,"(28665.75, 28669.5, 28661.75, 28665.5)",3.75,3.75,15.0,equal_wick_ambiguous
1,6292,2026-07-17 06:52:00-04:00,"(28792.75, 28796.75, 28788.0, 28792.0)",4.0,4.0,5.333333333333333,equal_wick_ambiguous
1,6318,2026-07-17 07:18:00-04:00,"(28747.5, 28756.5, 28740.5, 28749.5)",7.0,7.0,3.5,equal_wick_ambiguous
1,6506,2026-07-17 10:26:00-04:00,"(28858.75, 28863.25, 28841.25, 28845.75)",4.5,4.5,0.34615384615384615,equal_wick_ambiguous
1,6553,2026-07-17 11:13:00-04:00,"(28711.25, 28717.75, 28690.0, 28696.5)",6.5,6.5,0.4406779661016949,equal_wick_ambiguous
1,6641,2026-07-17 12:41:00-04:00,"(28913.25, 28927.0, 28909.5, 28923.25)",3.75,3.75,0.375,equal_wick_ambiguous
1,6664,2026-07-17 13:04:00-04:00,"(29011.75, 29018.25, 29004.25, 29010.75)",6.5,6.5,6.5,equal_wick_ambiguous
1,6673,2026-07-17 13:13:00-04:00,"(29023.75, 29026.75, 29010.0, 29013.0)",3.0,3.0,0.27906976744186046,equal_wick_ambiguous
1,6747,2026-07-17 14:27:00-04:00,"(28829.25, 28832.5, 28822.5, 28825.75)",3.25,3.25,0.9285714285714286,equal_wick_ambiguous
1,6778,2026-07-17 14:58:00-04:00,"(28873.25, 28877.75, 28868.25, 28872.75)",4.5,4.5,9.0,equal_wick_ambiguous
1,6823,2026-07-17 15:43:00-04:00,"(28791.25, 28799.25, 28788.0, 28796.0)",3.25,3.25,0.6842105263157895,equal_wick_ambiguous
1,6867,2026-07-17 16:27:00-04:00,"(28751.25, 28752.25, 28747.75, 28748.75)",1.0,1.0,0.4,equal_wick_ambiguous
1,6872,2026-07-17 16:32:00-04:00,"(28758.5, 28760.0, 28750.5, 28752.0)",1.5,1.5,0.23076923076923078,equal_wick_ambiguous
1,6893,2026-07-17 16:53:00-04:00,"(28760.75, 28762.5, 28759.0, 28760.75)",1.75,1.75,7.0,equal_wick_ambiguous
3,21,2026-07-12 19:06:00-04:00,"(29898.0, 29905.25, 29888.25, 29895.5)",7.25,7.25,2.9,equal_wick_ambiguous
3,30,2026-07-12 19:33:00-04:00,"(29888.25, 29891.5, 29881.75, 29885.0)",3.25,3.25,1.0,equal_wick_ambiguous
3,81,2026-07-12 22:06:00-04:00,"(29751.5, 29771.25, 29739.5, 29759.25)",12.0,12.0,1.5483870967741935,equal_wick_ambiguous
3,121,2026-07-13 00:06:00-04:00,"(29668.0, 29671.75, 29652.75, 29656.5)",3.75,3.75,0.32608695652173914,equal_wick_ambiguous
3,207,2026-07-13 04:24:00-04:00,"(29717.0, 29730.0, 29714.75, 29727.75)",2.25,2.25,0.20930232558139536,equal_wick_ambiguous
3,238,2026-07-13 05:57:00-04:00,"(29767.5, 29769.75, 29763.0, 29765.25)",2.25,2.25,1.0,equal_wick_ambiguous
3,270,2026-07-13 07:33:00-04:00,"(29773.0, 29783.0, 29768.5, 29778.5)",4.5,4.5,0.8181818181818182,equal_wick_ambiguous
3,430,2026-07-13 15:33:00-04:00,"(29419.75, 29446.75, 29412.75, 29439.75)",7.0,7.0,0.35,equal_wick_ambiguous
3,466,2026-07-13 18:21:00-04:00,"(29460.5, 29467.75, 29457.75, 29465.0)",2.75,2.75,0.6111111111111112,equal_wick_ambiguous
3,663,2026-07-14 04:12:00-04:00,"(29564.25, 29572.75, 29555.25, 29563.75)",8.5,8.5,17.0,equal_wick_ambiguous
3,824,2026-07-14 12:15:00-04:00,"(29741.0, 29750.0, 29729.0, 29738.0)",9.0,9.0,3.0,equal_wick_ambiguous
3,863,2026-07-14 14:12:00-04:00,"(29862.25, 29868.25, 29859.0, 29865.0)",3.25,3.25,1.1818181818181819,equal_wick_ambiguous
3,1026,2026-07-14 23:21:00-04:00,"(29975.0, 29980.5, 29970.5, 29976.0)",4.5,4.5,4.5,equal_wick_ambiguous
3,1042,2026-07-15 00:09:00-04:00,"(30004.0, 30007.5, 29997.5, 30001.0)",3.5,3.5,1.1666666666666667,equal_wick_ambiguous
3,1151,2026-07-15 05:36:00-04:00,"(29942.0, 29944.0, 29932.5, 29934.5)",2.0,2.0,0.26666666666666666,equal_wick_ambiguous
3,1187,2026-07-15 07:24:00-04:00,"(29931.0, 29934.25, 29928.5, 29931.75)",2.5,2.5,3.3333333333333335,equal_wick_ambiguous
3,1236,2026-07-15 09:51:00-04:00,"(29798.25, 29812.75, 29757.0, 29771.5)",14.5,14.5,0.5420560747663551,equal_wick_ambiguous
3,1360,2026-07-15 16:03:00-04:00,"(29701.25, 29734.5, 29695.0, 29728.25)",6.25,6.25,0.23148148148148148,equal_wick_ambiguous
3,1952,2026-07-16 23:39:00-04:00,"(28992.25, 28995.75, 28975.0, 28978.5)",3.5,3.5,0.2545454545454545,equal_wick_ambiguous
3,2090,2026-07-17 06:33:00-04:00,"(28772.25, 28780.0, 28763.0, 28770.75)",7.75,7.75,5.166666666666667,equal_wick_ambiguous
3,2212,2026-07-17 12:39:00-04:00,"(28916.75, 28935.0, 28907.5, 28925.75)",9.25,9.25,1.0277777777777777,equal_wick_ambiguous
5,365,2026-07-14 01:30:00-04:00,"(29586.25, 29610.0, 29580.75, 29604.5)",5.5,5.5,0.3013698630136986,equal_wick_ambiguous
5,372,2026-07-14 02:05:00-04:00,"(29592.0, 29612.0, 29586.25, 29606.25)",5.75,5.75,0.40350877192982454,equal_wick_ambiguous
5,392,2026-07-14 03:45:00-04:00,"(29595.0, 29600.0, 29567.25, 29572.25)",5.0,5.0,0.21978021978021978,equal_wick_ambiguous
5,422,2026-07-14 06:15:00-04:00,"(29612.5, 29620.25, 29597.25, 29605.0)",7.75,7.75,1.0333333333333334,equal_wick_ambiguous
5,520,2026-07-14 14:25:00-04:00,"(29866.25, 29870.5, 29851.25, 29855.5)",4.25,4.25,0.3953488372093023,equal_wick_ambiguous
5,537,2026-07-14 15:50:00-04:00,"(29811.25, 29824.0, 29807.25, 29820.0)",4.0,4.0,0.45714285714285713,equal_wick_ambiguous
5,645,2026-07-15 01:50:00-04:00,"(29990.5, 30007.0, 29984.25, 30000.75)",6.25,6.25,0.6097560975609756,equal_wick_ambiguous
5,702,2026-07-15 06:35:00-04:00,"(29897.75, 29907.0, 29890.0, 29899.25)",7.75,7.75,5.166666666666667,equal_wick_ambiguous
5,826,2026-07-15 16:55:00-04:00,"(29719.25, 29720.5, 29712.0, 29713.25)",1.25,1.25,0.20833333333333334,equal_wick_ambiguous
5,913,2026-07-16 01:10:00-04:00,"(29721.5, 29724.25, 29706.25, 29709.0)",2.75,2.75,0.22,equal_wick_ambiguous
5,1073,2026-07-16 14:30:00-04:00,"(29290.5, 29303.25, 29257.0, 29269.75)",12.75,12.75,0.6144578313253012,equal_wick_ambiguous
5,1215,2026-07-17 03:20:00-04:00,"(28752.25, 28765.75, 28743.5, 28757.0)",8.75,8.75,1.8421052631578947,equal_wick_ambiguous
5,1271,2026-07-17 08:00:00-04:00,"(28756.5, 28762.0, 28736.0, 28741.5)",5.5,5.5,0.36666666666666664,equal_wick_ambiguous
15,116,2026-07-14 00:15:00-04:00,"(29425.25, 29445.0, 29371.25, 29391.0)",19.75,19.75,0.5766423357664233,equal_wick_ambiguous
