id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,activated,activation_candle_number,activation_ts_et,first_tap_ts_et,first_tap_was_activated,n_taps,max_penetration,deactivation_ts_et,deactivation_reason_final
RB2-002902,1,bearish,6423,2026-07-17 09:03:00-04:00,28640.5,28645.75,28638.5,28642.75,3.0,2.0,2.25,False,7.25,1.3333333333333333,0.41379310344827586,1.5,13.403731042085758,28642.75,28645.75,4.5,,,0.3357274169312005,,,False,,,2026-07-17 09:04:00-04:00,False,1,1.25,2026-07-17 09:04:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002903,1,bearish,6425,2026-07-17 09:05:00-04:00,28644.5,28650.5,28639.0,28641.25,6.0,2.25,3.25,False,11.5,1.8461538461538463,0.5217391304347826,2.6666666666666665,12.959084418941291,28644.5,28650.5,11.25,16.0,17.5,0.868116885137097,1.2346551255283158,1.3504040435465954,False,,,2026-07-17 09:06:00-04:00,False,4,8.5,2026-07-17 09:30:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002904,1,bearish,6428,2026-07-17 09:08:00-04:00,28631.25,28641.25,28627.0,28629.5,10.0,2.5,1.75,False,14.25,5.714285714285714,0.7017543859649122,4.0,13.115746526389946,28631.25,28641.25,6.25,7.75,9.0,0.4765264399875747,0.5908927855845926,0.6861980735821076,False,,,2026-07-17 09:10:00-04:00,False,6,4.5,2026-07-17 09:26:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002905,1,bearish,6432,2026-07-17 09:12:00-04:00,28626.0,28629.5,28622.0,28624.5,3.5,2.5,1.5,False,7.5,2.3333333333333335,0.4666666666666667,1.4,11.98830790660723,28626.0,28629.5,6.0,6.25,10.0,0.5004876456912792,0.5213412975950825,0.834146076152132,False,,,2026-07-17 09:13:00-04:00,False,3,2.0,2026-07-17 09:16:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002906,1,bullish,6437,2026-07-17 09:17:00-04:00,28621.0,28630.75,28617.0,28628.5,4.0,2.25,7.5,False,13.75,0.5333333333333333,0.2909090909090909,1.7777777777777777,11.62086306592476,28617.0,28621.0,14.75,14.75,,1.2692688930524136,1.2692688930524136,,False,,,2026-07-17 09:19:00-04:00,False,1,5.5,2026-07-17 09:19:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002907,1,bullish,6439,2026-07-17 09:19:00-04:00,28627.5,28630.0,28611.5,28615.0,3.5,2.5,12.5,False,18.5,0.28,0.1891891891891892,1.4,12.10421356194533,28611.5,28615.0,10.0,15.25,15.25,0.8261585892237718,1.259891848566252,1.259891848566252,False,,,2026-07-17 09:20:00-04:00,False,2,4.0,2026-07-17 09:22:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002908,1,bearish,6441,2026-07-17 09:21:00-04:00,28624.0,28630.25,28615.5,28616.25,6.25,0.75,7.75,False,14.75,0.8064516129032258,0.423728813559322,8.333333333333334,12.369194346779393,28624.0,28630.25,16.5,20.5,,1.3339591518582743,1.6573431886724013,,True,2,2026-07-17 09:23:00-04:00,2026-07-17 09:25:00-04:00,True,1,11.0,2026-07-17 09:25:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002909,1,bullish,6443,2026-07-17 09:23:00-04:00,28611.25,28612.75,28603.5,28606.75,3.25,1.5,4.5,False,9.25,0.7222222222222222,0.35135135135135137,2.1666666666666665,12.138489003090395,28603.5,28606.75,1.25,,,0.10297822073915103,,,False,,,2026-07-17 09:24:00-04:00,False,1,6.75,2026-07-17 09:24:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002910,1,bullish,6444,2026-07-17 09:24:00-04:00,28607.75,28608.0,28596.75,28599.0,2.25,0.25,8.75,False,11.25,0.2571428571428571,0.2,9.0,12.075025502869652,28596.75,28599.0,42.25,,,3.498957413378482,,,True,1,2026-07-17 09:25:00-04:00,2026-07-17 09:27:00-04:00,True,1,8.75,2026-07-17 09:27:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002911,1,bullish,6446,2026-07-17 09:26:00-04:00,28640.25,28645.75,28631.5,28637.25,5.75,5.5,3.0,False,14.25,1.9166666666666667,0.40350877192982454,1.0454545454545454,14.231782193800871,28631.5,28637.25,11.0,,,0.772917955756196,,,False,,,2026-07-17 09:27:00-04:00,False,1,43.5,2026-07-17 09:27:00-04:00,DEACTIVATED_CLOSE_THROUGH
