family,id,timeframe,event,ts_et,deactivation_reason
RB,RB2-004110,1,SOURCE,2026-07-14 20:58:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004110,1,ACTIVATED,2026-07-14 21:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004110,1,FIRST_TAP,2026-07-14 20:59:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004110,1,DEACTIVATED,2026-07-14 21:26:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004111,1,SOURCE,2026-07-14 20:59:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004111,1,ACTIVATED,2026-07-14 21:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004111,1,FIRST_TAP,2026-07-14 21:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004111,1,DEACTIVATED,2026-07-14 21:26:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004112,1,SOURCE,2026-07-14 21:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004112,1,ACTIVATED,2026-07-14 21:01:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004112,1,FIRST_TAP,2026-07-14 21:23:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004112,1,DEACTIVATED,2026-07-14 21:26:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004113,1,SOURCE,2026-07-14 21:01:00-04:00,
RB,RB2-004114,1,SOURCE,2026-07-14 21:01:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004114,1,ACTIVATED,2026-07-14 21:03:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004114,1,FIRST_TAP,2026-07-14 21:15:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004114,1,DEACTIVATED,2026-07-14 21:15:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004115,1,SOURCE,2026-07-14 21:02:00-04:00,
RB,RB2-004116,1,SOURCE,2026-07-14 21:02:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004116,1,ACTIVATED,2026-07-14 21:03:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004116,1,FIRST_TAP,2026-07-14 21:04:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004116,1,DEACTIVATED,2026-07-14 21:05:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004117,1,SOURCE,2026-07-14 21:03:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004117,1,ACTIVATED,2026-07-14 21:05:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004117,1,FIRST_TAP,2026-07-14 21:04:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004117,1,DEACTIVATED,2026-07-14 21:08:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004118,1,SOURCE,2026-07-14 21:03:00-04:00,
RB,RB2-004119,1,SOURCE,2026-07-14 21:05:00-04:00,
RB,RB2-004120,1,SOURCE,2026-07-14 21:05:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004120,1,ACTIVATED,2026-07-14 21:08:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004120,1,FIRST_TAP,2026-07-14 21:06:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004120,1,DEACTIVATED,2026-07-14 21:15:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004121,1,SOURCE,2026-07-14 21:06:00-04:00,
RB,RB2-004122,1,SOURCE,2026-07-14 21:07:00-04:00,
RB,RB2-004123,1,SOURCE,2026-07-14 21:08:00-04:00,
RB,RB2-004124,1,SOURCE,2026-07-14 21:08:00-04:00,
RB,RB2-004125,1,SOURCE,2026-07-14 21:09:00-04:00,
RB,RB2-004126,1,SOURCE,2026-07-14 21:09:00-04:00,
RB,RB2-004127,1,SOURCE,2026-07-14 21:10:00-04:00,
RB,RB2-004128,1,SOURCE,2026-07-14 21:11:00-04:00,EXPIRED_UNTOUCHED_8H
RB,RB2-004128,1,ACTIVATED,2026-07-14 21:14:00-04:00,EXPIRED_UNTOUCHED_8H
RB,RB2-004128,1,DEACTIVATED,2026-07-15 05:14:00-04:00,EXPIRED_UNTOUCHED_8H
RB,RB2-004129,1,SOURCE,2026-07-14 21:11:00-04:00,
RB,RB2-004130,1,SOURCE,2026-07-14 21:12:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004130,1,ACTIVATED,2026-07-14 21:15:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004130,1,FIRST_TAP,2026-07-15 04:24:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004130,1,DEACTIVATED,2026-07-15 05:15:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004131,1,SOURCE,2026-07-14 21:13:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004131,1,ACTIVATED,2026-07-14 21:15:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004131,1,FIRST_TAP,2026-07-14 21:14:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004131,1,DEACTIVATED,2026-07-15 04:24:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004132,1,SOURCE,2026-07-14 21:13:00-04:00,
RB,RB2-004133,1,SOURCE,2026-07-14 21:14:00-04:00,DEACTIVATED_CLOSE_THROUGH
