config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
D083,D,AMD tf1m L24 w1.5 exc0.0 mw6 opposite rbw12,TOO_FEW,3,,,,,,,,,,,,
D083_V,D,AMD tf1m L24 w1.5 exc0.0 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D084,D,AMD tf1m L24 w1.5 exc0.0 mw12 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D084_V,D,AMD tf1m L24 w1.5 exc0.0 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D085,D,AMD tf1m L24 w1.5 exc0.0 mw12 midpoint rbw12,TOO_FEW,3,,,,,,,,,,,,
D085_V,D,AMD tf1m L24 w1.5 exc0.0 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D086,D,AMD tf1m L24 w1.5 exc0.0 mw12 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D086_V,D,AMD tf1m L24 w1.5 exc0.0 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D087,D,AMD tf1m L24 w1.5 exc0.0 mw12 opposite rbw12,TOO_FEW,3,,,,,,,,,,,,
D087_V,D,AMD tf1m L24 w1.5 exc0.0 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D088,D,AMD tf1m L24 w1.5 exc0.25 mw6 midpoint rbw6,TOO_FEW,0,,,,,,,,,,,,
D088_V,D,AMD tf1m L24 w1.5 exc0.25 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D089,D,AMD tf1m L24 w1.5 exc0.25 mw6 midpoint rbw12,TOO_FEW,0,,,,,,,,,,,,
D089_V,D,AMD tf1m L24 w1.5 exc0.25 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D090,D,AMD tf1m L24 w1.5 exc0.25 mw6 opposite rbw6,TOO_FEW,0,,,,,,,,,,,,
D090_V,D,AMD tf1m L24 w1.5 exc0.25 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D091,D,AMD tf1m L24 w1.5 exc0.25 mw6 opposite rbw12,TOO_FEW,0,,,,,,,,,,,,
D091_V,D,AMD tf1m L24 w1.5 exc0.25 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D092,D,AMD tf1m L24 w1.5 exc0.25 mw12 midpoint rbw6,TOO_FEW,0,,,,,,,,,,,,
D092_V,D,AMD tf1m L24 w1.5 exc0.25 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D093,D,AMD tf1m L24 w1.5 exc0.25 mw12 midpoint rbw12,TOO_FEW,0,,,,,,,,,,,,
D093_V,D,AMD tf1m L24 w1.5 exc0.25 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D094,D,AMD tf1m L24 w1.5 exc0.25 mw12 opposite rbw6,TOO_FEW,0,,,,,,,,,,,,
