amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
AMD0,above_POC,none,751,1.8040494166094716,1.117729329393931,1.0354887333471807,48.23559765134376,15.152895302687536,-33.737228601550086,-41.89581570132253,5,4
AMD0,gt1ATR_POC,none,1494,3.5888812628689086,1.2925931106744744,1.198419041434909,226.89919618333215,160.5090923666643,-27.655535992952167,-34.39117198590458,8,7
AMD1,none,none,2333,5.604323953328758,1.2577925571622097,1.1641403232383754,301.7509242193567,200.20894843871338,-39.986041722558866,-43.92028344511701,8,6
AMD1,none,K1_930,601,1.4437199725463281,1.5828937224824489,1.4432993628639665,149.54428560395706,119.29627120791412,-13.580756773035063,-15.537113546070046,8,8
AMD1,in_value,none,838,2.013040494166095,1.286128534299688,1.185081519877383,117.71441369240966,79.49662738481932,-19.4127593149979,-22.668229241354904,8,7
AMD1,below_POC,none,1303,3.1300617707618397,1.3911938737472316,1.2881644499286848,239.16087719738053,183.52715439476106,-21.713736399767924,-25.922372799535708,7,7
AMD1,above_POC,none,1045,2.5102951269732325,1.0916686174208878,1.0095661362023023,52.41738724452354,5.703074489047072,-57.982668779540546,-70.82153755908108,5,5
AMD1,gt1ATR_POC,none,2085,5.008579272477694,1.1947059836267349,1.1056134405994478,218.19051978243107,123.53103956486208,-40.12334746968351,-51.49826884162283,6,5
AMD1,gt1ATR_POC,K1_930,477,1.1458476321207962,1.5281749418359372,1.393279283874674,113.99832168252742,89.14414336505484,-13.865175827514093,-15.649984842738533,8,8
AMD2,none,none,1980,4.756348661633494,1.3652687788109494,1.2642229483363947,350.33938534178054,264.124070683561,-28.601908348331904,-33.012116696664066,8,7
AMD2,none,K1_930,508,1.2203157172271792,1.606973596196092,1.4611475640641503,126.27817605631151,100.55035211262302,-14.94379615468317,-16.346192309366245,8,8
AMD2,in_value,none,704,1.6911461908030199,1.4743426834621174,1.360295746661286,152.42337286448003,120.83824572896003,-12.72275758136476,-13.681315162729547,7,7
AMD2,below_POC,none,1088,2.613589567604667,1.5044856149541403,1.3941356987360534,247.2135067912394,201.1982135824788,-10.922194809722782,-12.91748961944569,8,7
AMD2,above_POC,none,907,2.178792038435141,1.2127495324655575,1.1218250144342923,101.82253486036693,60.809969720733875,-31.521755902527573,-40.361755971323,6,5
AMD2,gt1ATR_POC,none,1772,4.256691832532601,1.2873313442170844,1.1915223441516898,265.69607982652724,184.9223596530545,-34.65979504723725,-39.02999009447447,8,7
AMD2,gt1ATR_POC,K1_930,408,0.9800960878517502,1.5265470442911144,1.3863283036838272,93.06140742777283,71.65541485554567,-16.758708739736555,-18.212617479473032,7,7
AMD3,none,none,2747,6.598833218943033,1.3111489488318115,1.2124145791766696,425.179051798386,302.75320359677215,-20.919777063647132,-22.485254127294326,8,7
AMD3,none,K1_930,769,1.8472889498970488,1.6722048203650397,1.5241346288384785,212.75373700895153,173.98927401790306,-12.366783974696233,-13.799167949392398,8,8
AMD3,none,930_and_EMA,406,0.9752916952642416,1.6572963700357768,1.5190589510055794,112.25144494365335,92.65598988730676,-10.532407692767194,-11.064815385534281,8,8
AMD3,in_value,none,1010,2.4262182566918327,1.4576199679329631,1.3430320726456713,212.75337462506874,166.5557492501375,-11.560715906391295,-12.61297744472178,8,8
AMD3,below_POC,none,1520,3.65133836650652,1.4072631641874065,1.3016290188361923,291.7086654904561,225.29013098091224,-19.27160396801505,-24.496407936030177,8,7
AMD3,above_POC,none,1247,2.9955387783115994,1.1936697081872087,1.1032201694044768,128.58267459362563,71.51174918725124,-56.43799150041954,-68.61648300083876,6,4
AMD3,gt1ATR_POC,none,2452,5.890185312285518,1.2306068914777135,1.1376045749896562,302.44933299204797,188.54146598409585,-29.285339900288648,-45.2282220127145,7,6
AMD3,gt1ATR_POC,K1_930,615,1.477350720658888,1.5795316708442362,1.438823279431142,157.40285226382633,125.15550452765274,-13.782635863549231,-14.856271727098473,8,7
AMD4,none,none,3115,7.482841455044612,1.2503045652954323,1.1575033512208739,403.47313153708944,264.9048630741788,-19.773249304082725,-30.743248472465584,7,7
AMD4,none,K1_930,826,1.9842141386410432,1.3206878601304348,1.201126361879404,122.36898244157034,80.48386488314065,-21.34338936893525,-25.923678737870475,7,6
AMD4,none,930_and_EMA,441,1.0593685655456417,1.2507846865839212,1.1429167581755444,52.268541873086505,31.132983746172997,-26.746454518495447,-34.35856803268629,5,5
AMD4,in_value,none,1113,2.6736444749485244,1.2643726466868621,1.1657631935983501,148.4256165284972,97.22373305699436,-33.1101293541135,-35.78744803428671,7,6
AMD4,in_value,K1_930,427,1.0257378174330818,1.34883466003631,1.2275817926169594,67.89365707765779,46.48581415531561,-16.6206338345829,-20.996942918083583,6,5
AMD4,below_POC,none,1671,4.014070006863418,1.2841561855821506,1.189819485682297,238.59396550634938,166.24923101269871,-22.606653511625012,-27.814507023250073,7,6
AMD4,below_POC,K1_930,406,0.9752916952642416,1.4308430378817802,1.3088099759460983,80.08249684397106,60.14009368794214,-14.424103925957183,-17.967509364219207,7,7
AMD4,above_POC,none,1464,3.51681537405628,1.2021130455535107,1.1115983081679344,158.6321340780099,91.42876815601977,-21.27257370478941,-30.939605987558085,6,5
AMD4,above_POC,K1_930,425,1.020933424845573,1.24230493805627,1.1226693215264576,47.42122921790195,25.19845843580392,-13.782997585849152,-17.943095171698303,6,6
